"";"Bacteroides_thetaiotaomicron_VPI_5482, AGORA version 1.03";"Blautia_producta_DSM_2950, AGORA version 1.03";"Escherichia_coli_str_K_12_substr_MG1655, AGORA version 1.03";"Clostridium_ramosum_VPI_0427_DSM_1402, AGORA version 1.03";"Lactobacillus_plantarum_subsp_plantarum_ATCC_14917, AGORA version 1.03";"Bifidobacterium_longum_NCC2705, AGORA version 1.03";"Akkermansia_muciniphila_ATCC_BAA_835, AGORA version 1.03"
"1";5;5;5;5;5;5;5
"2";8;6;6;8;6;6;5
"3";16;12;12;15;12;12;5
"4";32;24;24;30;24;24;5
"5";64;48;48;60;48;48;5
"6";128;96;96;120;96;96;5
"7";256;192;192;240;192;192;5
"8";512;383;384;480;384;384;2
"9";1017;750;762;933;747;750;2
"10";1617;1136;1198;1402;1092;1165;0
"11";1931;1367;1435;1740;1261;1445;0
"12";2068;1495;1552;1955;1320;1561;0
